,feature,score,param
88,x_velocity_displacement_between_99th_percentile_and_1st_percentile,0.76,"{'C': 199.47017935277512, 'kernel': 'sigmoid', 'gamma': 693.9578677307567, 'degree': 1, 'coef0': 880.0208184605767, 'random_state': 42}"
89,x_velocity_skewness,0.72,"{'C': 518.9539116226844, 'kernel': 'sigmoid', 'gamma': 362.2632067043404, 'degree': 3, 'coef0': 100.2221111487008, 'random_state': 42}"
90,x_velocity_kurtosis,0.7733333333333333,"{'C': 0.31338106735371163, 'kernel': 'sigmoid', 'gamma': 980.7177673649054, 'degree': 1, 'coef0': 44.86989318349033, 'random_state': 42}"
91,y_displacement_max,0.5866666666666667,"{'C': 215.32640275532123, 'kernel': 'sigmoid', 'gamma': 936.5304584017794, 'degree': 2, 'coef0': 238.3778900402909, 'random_state': 42}"
92,y_displacement_mean,0.68,"{'C': 911.3839563552074, 'kernel': 'rbf', 'gamma': 17.87225180149771, 'degree': 3, 'coef0': 167.60401411256936, 'random_state': 42}"
93,y_displacement_median,0.5733333333333334,"{'C': 958.5565887619387, 'kernel': 'sigmoid', 'gamma': 422.90229113157034, 'degree': 2, 'coef0': 784.8769319039363, 'random_state': 42}"
94,y_displacement_variance,0.6266666666666667,"{'C': 110.0072725823025, 'kernel': 'sigmoid', 'gamma': 983.9085613159721, 'degree': 5, 'coef0': 148.58724245855188, 'random_state': 42}"
95,y_displacement_standard_deviation,0.7466666666666667,"{'C': 951.8607474407087, 'kernel': 'sigmoid', 'gamma': 933.0252918145287, 'degree': 4, 'coef0': 339.2604698263853, 'random_state': 42}"
96,y_displacement_99th_percentile,0.68,"{'C': 378.6419937842023, 'kernel': 'sigmoid', 'gamma': 810.1063662894912, 'degree': 5, 'coef0': 144.6800552889437, 'random_state': 42}"
97,y_displacement_displacement_between_99th_percentile_and_1st_percentile,0.7066666666666667,"{'C': 493.0719850987864, 'kernel': 'sigmoid', 'gamma': 335.05608483247477, 'degree': 4, 'coef0': 856.9426912730041, 'random_state': 42}"
98,y_displacement_skewness,0.6933333333333334,"{'C': 780.2975489708248, 'kernel': 'sigmoid', 'gamma': 794.2917860429305, 'degree': 1, 'coef0': 380.4649902250458, 'random_state': 42}"
99,y_displacement_kurtosis,0.6266666666666667,"{'C': 895.0462467718734, 'kernel': 'sigmoid', 'gamma': 390.7993217763784, 'degree': 5, 'coef0': 999.4328948996133, 'random_state': 42}"
100,y_velocity_max,0.68,"{'C': 60.944621877680135, 'kernel': 'sigmoid', 'gamma': 335.059788583484, 'degree': 1, 'coef0': 518.4037565492304, 'random_state': 42}"
101,y_velocity_min,0.5066666666666667,"{'C': 806.4260249017833, 'kernel': 'sigmoid', 'gamma': 749.4539956027548, 'degree': 3, 'coef0': 887.1596018293511, 'random_state': 42}"
102,y_velocity_mean,0.6933333333333334,"{'C': 305.19679950116625, 'kernel': 'sigmoid', 'gamma': 952.7771626784156, 'degree': 4, 'coef0': 154.65551103685198, 'random_state': 42}"
103,y_velocity_median,0.6133333333333333,"{'C': 774.6329583508765, 'kernel': 'sigmoid', 'gamma': 209.9579406763322, 'degree': 1, 'coef0': 207.74405402616958, 'random_state': 42}"
104,y_velocity_variance,0.6666666666666666,"{'C': 96.41922220828897, 'kernel': 'rbf', 'gamma': 253.97005348819698, 'degree': 1, 'coef0': 590.8984043170282, 'random_state': 42}"
105,y_velocity_standard_deviation,0.72,"{'C': 485.5213522300417, 'kernel': 'rbf', 'gamma': 40.85427086381472, 'degree': 3, 'coef0': 430.79172899997224, 'random_state': 42}"
106,y_velocity_99th_percentile,0.7333333333333333,"{'C': 0.5372711593945638, 'kernel': 'sigmoid', 'gamma': 844.4647496512389, 'degree': 2, 'coef0': 600.6388286206729, 'random_state': 42}"
107,y_velocity_displacement_between_99th_percentile_and_1st_percentile,0.7866666666666666,"{'C': 71.26094175163988, 'kernel': 'sigmoid', 'gamma': 604.1010731290017, 'degree': 1, 'coef0': 226.29973629713388, 'random_state': 42}"
108,y_velocity_skewness,0.64,"{'C': 671.6492059340926, 'kernel': 'sigmoid', 'gamma': 525.2989448287232, 'degree': 2, 'coef0': 0.36927816787100404, 'random_state': 42}"
109,y_velocity_kurtosis,0.6533333333333333,"{'C': 954.228674850908, 'kernel': 'rbf', 'gamma': 154.66436500774068, 'degree': 1, 'coef0': 288.09221220451855, 'random_state': 42}"
110,x_displacement_no_abs_max,0.6533333333333333,"{'C': 0.15091363025057802, 'kernel': 'sigmoid', 'gamma': 810.7272789596698, 'degree': 2, 'coef0': 19.05641169539722, 'random_state': 42}"
111,x_displacement_no_abs_min,0.6533333333333333,"{'C': 380.2603014506602, 'kernel': 'sigmoid', 'gamma': 395.0959125121737, 'degree': 4, 'coef0': 398.0773257869864, 'random_state': 42}"
112,x_displacement_no_abs_mean,0.7333333333333333,"{'C': 601.0808915818018, 'kernel': 'sigmoid', 'gamma': 520.6611545665687, 'degree': 2, 'coef0': 765.3341717763836, 'random_state': 42}"
113,x_displacement_no_abs_median,0.5066666666666667,"{'C': 800.4726045831529, 'kernel': 'sigmoid', 'gamma': 58.88192443128223, 'degree': 1, 'coef0': 288.72586977698944, 'random_state': 42}"
114,x_displacement_no_abs_variance,0.6666666666666666,"{'C': 101.942487463087, 'kernel': 'rbf', 'gamma': 1.6393070176959448, 'degree': 3, 'coef0': 291.0935430771895, 'random_state': 42}"
115,x_displacement_no_abs_standard_deviation,0.6666666666666666,"{'C': 204.85599708500607, 'kernel': 'rbf', 'gamma': 37.53792715665048, 'degree': 1, 'coef0': 91.45195010668773, 'random_state': 42}"
116,x_displacement_no_abs_1st_percentile,0.6533333333333333,"{'C': 621.2673505500579, 'kernel': 'sigmoid', 'gamma': 421.0771928826879, 'degree': 3, 'coef0': 518.8162271753896, 'random_state': 42}"
117,x_displacement_no_abs_99th_percentile,0.6933333333333334,"{'C': 4.599690781872961, 'kernel': 'rbf', 'gamma': 352.32749838310866, 'degree': 5, 'coef0': 17.345354191538195, 'random_state': 42}"
118,x_displacement_no_abs_displacement_between_99th_percentile_and_1st_percentile,0.7333333333333333,"{'C': 187.0913989850625, 'kernel': 'rbf', 'gamma': 31.419964380491315, 'degree': 3, 'coef0': 660.6069474165442, 'random_state': 42}"
119,x_displacement_no_abs_skewness,0.7866666666666666,"{'C': 649.756935022933, 'kernel': 'sigmoid', 'gamma': 20.63169836216136, 'degree': 5, 'coef0': 113.8165475402146, 'random_state': 42}"
120,x_displacement_no_abs_kurtosis,0.6666666666666666,"{'C': 432.7830627364616, 'kernel': 'sigmoid', 'gamma': 986.9660968940535, 'degree': 4, 'coef0': 229.71860094849146, 'random_state': 42}"
121,x_velocity_no_abs_max,0.72,"{'C': 878.6001817470312, 'kernel': 'rbf', 'gamma': 2.669098517189312, 'degree': 2, 'coef0': 89.51812416335251, 'random_state': 42}"
122,x_velocity_no_abs_min,0.8,"{'C': 579.7251629843513, 'kernel': 'sigmoid', 'gamma': 676.577545930795, 'degree': 3, 'coef0': 950.8206927394671, 'random_state': 42}"
123,x_velocity_no_abs_mean,0.6933333333333334,"{'C': 73.73282693013505, 'kernel': 'sigmoid', 'gamma': 823.9882681962397, 'degree': 3, 'coef0': 64.29218131880931, 'random_state': 42}"
124,x_velocity_no_abs_median,0.5066666666666667,"{'C': 822.1851962967047, 'kernel': 'rbf', 'gamma': 101.51080440561954, 'degree': 3, 'coef0': 999.8630952849122, 'random_state': 42}"
125,x_velocity_no_abs_variance,0.7866666666666666,"{'C': 16.009573718990445, 'kernel': 'sigmoid', 'gamma': 661.6924779197798, 'degree': 3, 'coef0': 366.9570844888279, 'random_state': 42}"
126,x_velocity_no_abs_standard_deviation,0.6933333333333334,"{'C': 431.2193671878079, 'kernel': 'sigmoid', 'gamma': 752.6241607707956, 'degree': 4, 'coef0': 29.65627137730811, 'random_state': 42}"
127,x_velocity_no_abs_1st_percentile,0.76,"{'C': 99.99443787576938, 'kernel': 'sigmoid', 'gamma': 917.8701701054919, 'degree': 1, 'coef0': 123.49101084179692, 'random_state': 42}"
128,x_velocity_no_abs_99th_percentile,0.7333333333333333,"{'C': 53.93992862170686, 'kernel': 'sigmoid', 'gamma': 805.2337627367652, 'degree': 5, 'coef0': 17.67952456438877, 'random_state': 42}"
129,x_velocity_no_abs_displacement_between_99th_percentile_and_1st_percentile,0.7733333333333333,"{'C': 163.48818377086565, 'kernel': 'sigmoid', 'gamma': 470.00389591149286, 'degree': 5, 'coef0': 503.5619925725183, 'random_state': 42}"
130,x_velocity_no_abs_skewness,0.76,"{'C': 207.65870607554695, 'kernel': 'sigmoid', 'gamma': 745.8987008630512, 'degree': 3, 'coef0': 187.25275577539097, 'random_state': 42}"
131,x_velocity_no_abs_kurtosis,0.6533333333333333,"{'C': 30.41857146059791, 'kernel': 'rbf', 'gamma': 23.66952084731851, 'degree': 1, 'coef0': 760.5913822835859, 'random_state': 42}"
132,y_displacement_no_abs_max,0.6,"{'C': 807.5397700826423, 'kernel': 'sigmoid', 'gamma': 867.633225268886, 'degree': 5, 'coef0': 327.2436291641116, 'random_state': 42}"
