,feature,score,param
120,x_displacement_no_abs_99th_percentile,0.5972222222222222,"{'C': 628.6992314086053, 'kernel': 'sigmoid', 'gamma': 91.2472869985241, 'degree': 2, 'coef0': 235.3615675397134, 'random_state': 42}"
121,x_displacement_no_abs_displacement_between_99th_percentile_and_1st_percentile,0.6666666666666666,"{'C': 875.6834942319158, 'kernel': 'rbf', 'gamma': 60.82472962642765, 'degree': 1, 'coef0': 723.9576159325937, 'random_state': 42}"
122,x_displacement_no_abs_skewness,0.875,"{'C': 100.75857546141788, 'kernel': 'sigmoid', 'gamma': 968.3654992859234, 'degree': 5, 'coef0': 369.3771253383579, 'random_state': 42}"
123,x_displacement_no_abs_kurtosis,0.8472222222222222,"{'C': 507.4808605124083, 'kernel': 'sigmoid', 'gamma': 913.6976210021912, 'degree': 1, 'coef0': 243.26721387531012, 'random_state': 42}"
124,x_velocity_no_abs_max,0.6527777777777778,"{'C': 526.9150897720801, 'kernel': 'sigmoid', 'gamma': 972.6698907975479, 'degree': 4, 'coef0': 845.3144157727346, 'random_state': 42}"
125,x_velocity_no_abs_min,0.75,"{'C': 209.25659332835863, 'kernel': 'sigmoid', 'gamma': 442.77044832860463, 'degree': 5, 'coef0': 836.1468046603137, 'random_state': 42}"
126,x_velocity_no_abs_mean,0.6666666666666666,"{'C': 499.03871716538777, 'kernel': 'sigmoid', 'gamma': 314.4819831162684, 'degree': 1, 'coef0': 512.5221917626916, 'random_state': 42}"
127,x_velocity_no_abs_median,0.5694444444444444,"{'C': 569.5819628330091, 'kernel': 'sigmoid', 'gamma': 305.77349309434703, 'degree': 4, 'coef0': 507.8972588114652, 'random_state': 42}"
128,x_velocity_no_abs_variance,0.6666666666666666,"{'C': 348.3551806938518, 'kernel': 'rbf', 'gamma': 126.16312644416692, 'degree': 4, 'coef0': 296.12996679611064, 'random_state': 42}"
129,x_velocity_no_abs_standard_deviation,0.6527777777777778,"{'C': 953.8320294788863, 'kernel': 'rbf', 'gamma': 101.8867673269481, 'degree': 3, 'coef0': 60.373674695368365, 'random_state': 42}"
130,x_velocity_no_abs_1st_percentile,0.7777777777777778,"{'C': 709.0592133831402, 'kernel': 'sigmoid', 'gamma': 360.3694907040106, 'degree': 2, 'coef0': 607.1767050498797, 'random_state': 42}"
131,x_velocity_no_abs_99th_percentile,0.5972222222222222,"{'C': 845.0608731540716, 'kernel': 'sigmoid', 'gamma': 341.7235565115895, 'degree': 3, 'coef0': 874.8988704872489, 'random_state': 42}"
132,x_velocity_no_abs_displacement_between_99th_percentile_and_1st_percentile,0.6527777777777778,"{'C': 680.4697328375541, 'kernel': 'sigmoid', 'gamma': 161.4200170503459, 'degree': 1, 'coef0': 338.5228752439775, 'random_state': 42}"
133,x_velocity_no_abs_skewness,0.7638888888888888,"{'C': 0.43074929854042665, 'kernel': 'sigmoid', 'gamma': 986.5193219450218, 'degree': 2, 'coef0': 953.8610110256276, 'random_state': 42}"
134,x_velocity_no_abs_kurtosis,0.5833333333333334,"{'C': 113.67547196077841, 'kernel': 'sigmoid', 'gamma': 861.4166612311122, 'degree': 5, 'coef0': 679.3842896549012, 'random_state': 42}"
135,y_displacement_no_abs_max,0.6805555555555556,"{'C': 686.3392467615334, 'kernel': 'rbf', 'gamma': 30.11813092292007, 'degree': 2, 'coef0': 373.52974971898857, 'random_state': 42}"
136,y_displacement_no_abs_min,0.8611111111111112,"{'C': 55.81449566140453, 'kernel': 'sigmoid', 'gamma': 899.8969561458042, 'degree': 1, 'coef0': 101.52650462538665, 'random_state': 42}"
137,y_displacement_no_abs_mean,0.7083333333333334,"{'C': 968.904622812752, 'kernel': 'sigmoid', 'gamma': 683.5796178744766, 'degree': 2, 'coef0': 31.21473645841985, 'random_state': 42}"
138,y_displacement_no_abs_median,0.625,"{'C': 390.150991515817, 'kernel': 'sigmoid', 'gamma': 901.5488848869402, 'degree': 2, 'coef0': 804.6584799275939, 'random_state': 42}"
139,y_displacement_no_abs_variance,0.625,"{'C': 23.37913967252558, 'kernel': 'sigmoid', 'gamma': 762.3606364750834, 'degree': 2, 'coef0': 0.021862123851939717, 'random_state': 42}"
140,y_displacement_no_abs_standard_deviation,0.6805555555555556,"{'C': 690.9387066907095, 'kernel': 'sigmoid', 'gamma': 884.5148157190831, 'degree': 1, 'coef0': 74.46476448663721, 'random_state': 42}"
141,y_displacement_no_abs_1st_percentile,0.6527777777777778,"{'C': 72.65584788507337, 'kernel': 'sigmoid', 'gamma': 202.05194328204647, 'degree': 4, 'coef0': 460.39911323150113, 'random_state': 42}"
